Date,Close,Open,High,Low,Volume,%Change
2015-01-02,5242.77,5233.8,5247.94,5230.75,3810000000.0,0.3
2015-01-05,5219.99,5229.68,5233.66,5206.28,4480000000.0,-0.43
2015-01-06,5169.06,5186.2,5194.8,5169.06,5150000000.0,-0.98
2015-01-07,5207.12,5175.55,5207.38,5174.8,7210000000.0,0.74
2015-01-08,5211.83,5218.4,5230.18,5208.99,6920000000.0,0.09
2015-01-09,5216.66,5226.89,5240.24,5212.28,7390000000.0,0.09
2015-01-12,5187.93,5202.75,5220.25,5183.21,4770000000.0,-0.55
2015-01-13,5214.36,5199.94,5217.22,5197.09,7290000000.0,0.51
2015-01-14,5159.67,5217.2,5225.02,5159.67,6400000000.0,-1.05
2015-01-15,5188.71,5180.43,5193.95,5168.01,5420000000.0,0.56
2015-01-16,5148.38,5182.01,5204.49,5148.38,4620000000.0,-0.78
2015-01-19,5152.09,5152.16,5171.68,5132.71,4480000000.0,0.07
2015-01-20,5166.09,5154.37,5166.09,5121.81,4720000000.0,0.27
2015-01-21,5215.27,5176.35,5215.27,5164.3,3970000000.0,0.95
2015-01-22,5253.18,5215.64,5267.57,5215.03,6030000000.0,0.73
2015-01-23,5323.89,5281.18,5325.04,5281.18,6180000000.0,1.35
2015-01-26,5260.02,5302.64,5309.52,5208.42,4770000000.0,-1.2
2015-01-27,5277.15,5254.46,5277.15,5243.75,4030000000.0000005,0.33
2015-01-28,5268.85,5272.22,5279.91,5263.55,4520000000.0,-0.16
2015-01-29,5262.72,5263.53,5266.99,5253.45,3940000000.0,-0.12
2015-01-30,5289.4,5290.39,5298.46,5281.58,3950000000.0,0.51
2015-02-02,5276.24,5277.15,5291.41,5257.21,3370000000.0,-0.25
2015-02-03,5291.72,5287.62,5310.11,5282.06,4530000000.0,0.29
2015-02-04,5315.28,5315.45,5348.84,5298.12,5360000000.0,0.45
2015-02-05,5279.9,5309.13,5314.29,5254.04,4040000000.0,-0.67
2015-02-06,5342.52,5297.35,5342.52,5296.6,4730000000.0,1.19
2015-02-09,5348.47,5341.76,5375.09,5333.23,4170000000.0,0.11
2015-02-10,5321.47,5353.81,5362.57,5310.08,4360000000.0,-0.5
2015-02-11,5336.52,5336.66,5345.08,5327.89,4700000000.0,0.28
2015-02-12,5343.41,5342.06,5346.14,5320.24,4269999999.9999995,0.13
2015-02-13,5374.16,5363.98,5380.84,5352.95,3680000000.0,0.58
2015-02-16,5325.49,5377.97,5384.02,5320.4,3530000000.0,-0.91
2015-02-17,5337.5,5325.68,5342.93,5319.47,3470000000.0,0.23
2015-02-18,5390.45,5372.75,5415.38,5372.75,5170000000.0,0.99
2015-02-20,5400.1,5399.43,5427.31,5398.35,4210000000.0,0.18
2015-02-23,5403.28,5409.94,5418.59,5387.38,3950000000.0,0.06
2015-02-24,5417.31,5399.66,5422.44,5397.78,4179999999.9999995,0.26
2015-02-25,5445.11,5426.23,5448.69,5425.9,4950000000.0,0.51
2015-02-26,5451.42,5429.48,5459.07,5429.48,4250000000.0,0.12
2015-02-27,5450.29,5455.23,5464.22,5441.14,4440000000.0,-0.02
2015-03-02,5477.83,5452.83,5477.83,5451.57,4280000000.0000005,0.51
2015-03-03,5474.62,5479.62,5499.77,5472.57,4320000000.0,-0.06
2015-03-04,5448.06,5477.82,5484.86,5435.44,3970000000.0,-0.49
2015-03-05,5450.95,5457.9,5476.63,5450.95,4139999999.9999995,0.05
2015-03-06,5514.79,5467.15,5514.79,5460.89,4380000000.0,1.17
2015-03-09,5444.63,5483.86,5485.0,5424.95,4200000000.0,-1.27
2015-03-10,5462.93,5437.13,5471.28,5407.57,4820000000.0,0.34
2015-03-11,5419.57,5438.33,5439.26,5405.94,5380000000.0,-0.79
2015-03-12,5439.83,5418.19,5449.6,5417.6,4520000000.0,0.37
2015-03-13,5426.47,5457.94,5462.59,5420.8,4230000000.0000005,-0.25
2015-03-16,5435.27,5415.47,5449.94,5415.47,3650000000.0,0.16
2015-03-17,5439.15,5452.83,5464.02,5431.8,5060000000.0,0.07
2015-03-18,5413.15,5425.81,5435.04,5412.96,4300000000.0,-0.48
2015-03-19,5453.85,5445.07,5461.3,5444.1,4880000000.0,0.75
2015-03-20,5443.06,5433.15,5453.69,5423.28,5330000000.0,-0.2
2015-03-23,5437.1,5455.88,5467.94,5437.1,5550000000.0,-0.11
2015-03-24,5447.65,5440.59,5457.95,5434.46,4000000000.0,0.19
2015-03-25,5405.49,5437.74,5440.45,5396.41,5170000000.0,-0.77
2015-03-26,5368.8,5381.02,5413.29,5368.67,4820000000.0,-0.68
2015-03-27,5396.85,5352.74,5397.84,5350.47,3360000000.0,0.52
2015-03-30,5438.66,5415.28,5459.75,5411.97,4690000000.0,0.77
2015-03-31,5518.68,5490.98,5518.68,5484.05,4750000000.0,1.47
2015-04-01,5466.87,5516.8,5524.04,5454.53,4570000000.0,-0.94
2015-04-02,5456.4,5480.16,5489.64,5436.95,4810000000.0,-0.19
2015-04-06,5480.03,5467.7,5489.6,5465.61,3620000000.0,0.43
2015-04-07,5523.29,5502.32,5523.29,5493.84,4780000000.0,0.79
2015-04-08,5486.58,5513.98,5518.8,5476.89,4310000000.0,-0.66
2015-04-09,5500.9,5494.55,5500.9,5478.51,4260000000.0,0.26
2015-04-10,5491.34,5504.24,5509.0,5471.4,4530000000.0,-0.17
2015-04-13,5447.41,5479.73,5486.88,5430.92,3930000000.0,-0.8
2015-04-14,5419.11,5438.53,5448.45,5397.73,4090000000.0,-0.52
