Date,ANTM_Close,IHSG_Close,EMAS_Close,USD_Close
2020-01-02,840,"6,283.58","1,528.10","13,889.0"
2020-01-03,850,"6,323.47","1,552.40","13,925.0"
2020-01-06,885,"6,257.40","1,568.80","13,940.0"
2020-01-07,875,"6,279.35","1,574.30","13,875.0"
2020-01-08,905,"6,225.69","1,560.20","13,892.5"
2020-01-09,880,"6,274.49","1,554.30","13,850.0"
2020-01-10,885,"6,274.94","1,560.10","13,762.5"
2020-01-13,870,"6,296.57","1,550.60","13,668.0"
2020-01-14,850,"6,325.41","1,544.60","13,670.0"
2020-01-15,835,"6,283.36","1,554.00","13,665.0"
2020-01-16,845,"6,286.05","1,550.50","13,630.0"
2020-01-17,840,"6,291.66","1,560.30","13,637.5"
2020-01-20,795,"6,245.04","1,557.90","13,632.5"
2020-01-21,795,"6,238.15","1,557.90","13,657.5"
2020-01-22,770,"6,233.45","1,556.70","13,644.5"
2020-01-23,780,"6,249.21","1,565.40","13,630.0"
2020-01-24,785,"6,244.11","1,571.90","13,572.5"
2020-01-27,750,"6,133.21","1,577.40","13,605.0"
2020-01-28,750,"6,111.18","1,569.80","13,637.5"
2020-01-29,750,"6,113.05","1,570.40","13,627.5"
2020-01-30,740,"6,057.60","1,586.50","13,645.0"
2020-01-31,720,"5,940.05","1,584.90","13,655.0"
2020-02-03,715,"5,884.17","1,579.50","13,742.5"
2020-02-04,730,"5,922.34","1,552.70","13,710.0"
2020-02-05,725,"5,978.51","1,560.10","13,675.0"
2020-02-06,735,"5,987.15","1,567.20","13,620.0"
2020-02-07,730,"5,999.61","1,570.60","13,675.0"
2020-02-10,720,"5,952.08","1,576.60","13,695.0"
2020-02-11,720,"5,954.40","1,567.20","13,665.0"
2020-02-12,715,"5,913.08","1,568.80","13,660.0"
2020-02-13,680,"5,871.95","1,576.30","13,680.0"
2020-02-14,675,"5,866.94","1,583.80","13,675.0"
2020-02-17,680,"5,867.52","1,603.60","13,652.5"
2020-02-18,690,"5,886.96","1,601.00","13,665.0"
2020-02-19,705,"5,928.79","1,608.80","13,687.5"
2020-02-20,710,"5,942.49","1,617.40","13,707.5"
2020-02-21,700,"5,882.26","1,645.10","13,765.0"
2020-02-24,685,"5,807.05","1,673.50","13,870.0"
2020-02-25,660,"5,787.14","1,647.00","13,882.5"
2020-02-26,630,"5,688.92","1,640.40","13,932.5"
2020-02-27,600,"5,535.69","1,642.50","14,035.0"
2020-02-28,575,"5,452.70","1,566.70","14,347.5"
2020-03-02,585,"5,361.25","1,594.80","14,265.0"
2020-03-03,615,"5,518.63","1,644.40","14,281.5"
2020-03-04,630,"5,650.14","1,643.00","14,115.0"
2020-03-05,630,"5,638.13","1,668.00","14,170.0"
2020-03-06,610,"5,498.54","1,672.40","14,230.0"
2020-03-09,555,"5,136.81","1,675.70","14,392.5"
2020-03-10,575,"5,220.83","1,660.30","14,346.0"
2020-03-11,540,"5,154.10","1,642.30","14,352.5"
2020-03-12,490,"4,895.75","1,590.30","14,521.5"
2020-03-13,478,"4,907.57","1,516.70","14,770.0"
2020-03-16,446,"4,690.66","1,486.50","14,925.0"
2020-03-17,416,"4,456.75","1,525.80","15,170.0"
2020-03-18,388,"4,330.67","1,477.90","15,217.5"
2020-03-19,362,"4,105.42","1,479.30","15,912.5"
2020-03-20,374,"4,194.94","1,484.60","15,925.0"
2020-03-23,348,"3,989.52","1,567.60","16,575.0"
2020-03-24,364,"3,937.63","1,660.80","16,500.0"
2020-03-26,416,"4,338.90","1,651.20","16,305.0"
2020-03-27,460,"4,545.57","1,625.00","16,140.0"
2020-03-30,432,"4,414.50","1,637.10","16,337.5"
2020-03-31,450,"4,538.93","1,589.30","16,310.0"
2020-04-01,436,"4,466.04","1,584.10","16,450.0"
2020-04-02,452,"4,531.69","1,630.70","16,475.0"
2020-04-03,464,"4,623.43","1,637.60","16,425.0"
2020-04-06,540,"4,811.83","1,684.00","16,412.5"
2020-04-07,555,"4,778.64","1,672.60","16,175.0"
2020-04-08,520,"4,626.69","1,674.10","16,175.0"
2020-04-09,520,"4,649.08","1,739.90","15,820.0"
2020-04-13,535,"4,623.89","1,749.80","15,630.0"
2020-04-14,555,"4,706.49","1,759.10","15,630.0"
2020-04-15,525,"4,625.90","1,729.60","15,565.0"
2020-04-16,505,"4,480.61","1,722.70","15,640.0"
2020-04-17,520,"4,634.82","1,690.80","15,430.0"
2020-04-20,500,"4,575.90","1,703.40","15,412.5"
2020-04-21,482,"4,501.92","1,678.30","15,455.0"
2020-04-22,492,"4,567.56","1,727.40","15,450.0"
2020-04-23,498,"4,593.55","1,733.40","15,400.0"
2020-04-24,494,"4,496.06","1,724.20","15,400.0"
2020-04-27,505,"4,513.14","1,712.60","15,385.0"
2020-04-28,492,"4,529.55","1,710.60","15,422.5"
2020-04-29,498,"4,567.32","1,713.40","15,295.0"
2020-04-30,510,"4,716.40","1,694.20","14,875.0"
2020-05-04,494,"4,605.49","1,713.30","15,100.0"
2020-05-05,500,"4,630.13","1,710.60","15,080.0"
2020-05-06,500,"4,608.79","1,688.50","15,045.0"
2020-05-08,535,"4,597.43","1,713.90","14,920.0"
2020-05-11,530,"4,639.10","1,698.00","14,895.0"
2020-05-12,515,"4,588.73","1,706.80","14,905.0"
2020-05-13,535,"4,554.36","1,716.40","14,865.0"
2020-05-14,515,"4,513.83","1,740.90","14,885.0"
2020-05-15,520,"4,507.61","1,756.30","14,860.0"
2020-05-18,525,"4,511.06","1,734.40","14,850.0"
2020-05-19,525,"4,548.66","1,745.60","14,770.0"
2020-05-20,520,"4,545.95","1,752.10","14,710.0"
2020-05-26,530,"4,626.80","1,705.60","14,755.0"
2020-05-27,520,"4,641.56","1,710.70","14,710.0"
2020-05-28,525,"4,716.19","1,719.80","14,715.0"
2020-05-29,535,"4,753.61","1,742.90","14,610.0"
2020-06-02,555,"4,847.51","1,728.90","14,415.0"
2020-06-03,555,"4,941.01","1,701.00","14,095.0"
2020-06-04,570,"4,916.70","1,721.80","14,095.0"
2020-06-05,590,"4,947.78","1,678.50","13,870.0"
2020-06-08,630,"5,070.56","1,699.90","13,885.0"
2020-06-09,610,"5,035.06","1,717.00","13,890.0"
2020-06-10,595,"4,920.68","1,715.50","13,980.0"
2020-06-11,580,"4,854.75","1,734.70","14,015.0"
2020-06-12,580,"4,880.36","1,732.00","14,125.0"
2020-06-15,565,"4,816.34","1,721.80","14,115.0"
2020-06-16,610,"4,986.46","1,731.50","14,090.0"
2020-06-17,635,"4,987.78","1,730.30","14,082.5"
2020-06-18,620,"4,925.25","1,726.00","14,085.0"
2020-06-19,610,"4,942.27","1,747.10","14,100.0"
2020-06-22,605,"4,918.83","1,758.40","14,185.0"
2020-06-23,595,"4,879.13","1,774.10","14,160.0"
2020-06-24,605,"4,964.73","1,768.10","14,130.0"
2020-06-25,600,"4,896.73","1,763.10","14,175.0"
2020-06-26,605,"4,904.09","1,773.30","14,220.0"
2020-06-29,595,"4,901.82","1,781.20","14,245.0"
2020-06-30,605,"4,905.39","1,800.50","14,255.0"
2020-07-01,600,"4,914.39","1,779.90","14,265.0"
2020-07-02,610,"4,966.78","1,790.00","14,378.5"
2020-07-03,600,"4,973.79","1,793.50","14,510.0"
2020-07-06,640,"4,988.87","1,793.50","14,490.0"
2020-07-07,650,"4,987.08","1,809.90","14,440.0"
2020-07-08,660,"5,076.17","1,820.60","14,410.0"
2020-07-09,650,"5,052.79","1,803.80","14,395.0"
2020-07-10,645,"5,031.26","1,801.90","14,435.0"
2020-07-13,675,"5,064.45","1,814.10","14,425.0"
2020-07-14,660,"5,079.12","1,813.40","14,450.0"
2020-07-15,655,"5,075.80","1,813.80","14,587.5"
2020-07-16,650,"5,098.37","1,800.30","14,625.0"
2020-07-17,660,"5,079.59","1,810.00","14,695.0"
2020-07-20,650,"5,051.11","1,817.40","14,785.0"
2020-07-21,685,"5,114.71","1,843.90","14,738.5"
2020-07-22,685,"5,110.19","1,865.10","14,650.0"
2020-07-23,690,"5,145.01","1,890.00","14,580.0"
2020-07-24,685,"5,082.99","1,897.50","14,610.0"
2020-07-27,725,"5,116.67","1,931.00","14,520.0"
2020-07-28,720,"5,112.99","1,944.60","14,535.0"
2020-07-29,730,"5,111.11","1,953.40","14,535.0"
2020-07-30,730,"5,149.63","1,949.50","14,600.0"
2020-08-03,700,"5,006.22","1,969.50","14,630.0"
2020-08-04,705,"5,075.00","2,004.20","14,620.0"
2020-08-05,750,"5,127.05","2,032.90","14,550.0"
2020-08-06,835,"5,178.27","2,054.60","14,585.0"
2020-08-07,840,"5,143.89","2,014.30","14,580.0"
2020-08-10,825,"5,157.83","2,027.30","14,590.0"
2020-08-11,800,"5,190.17","1,935.70","14,620.0"
2020-08-12,770,"5,233.45","1,937.50","14,685.0"
2020-08-13,770,"5,239.25","1,959.30","14,700.0"
2020-08-14,785,"5,247.69","1,938.80","14,720.0"
2020-08-18,805,"5,295.17","2,001.60","14,830.0"
2020-08-19,795,"5,272.81","1,960.50","14,770.0"
2020-08-24,780,"5,277.04","1,928.60","14,670.0"
2020-08-25,790,"5,338.89","1,912.50","14,640.0"
2020-08-26,785,"5,340.33","1,941.70","14,670.0"
2020-08-27,795,"5,371.47","1,922.30","14,650.0"
2020-08-28,820,"5,346.66","1,966.80","14,615.0"
2020-08-31,820,"5,238.49","1,970.50","14,560.0"
2020-09-01,840,"5,310.68","1,970.80","14,565.0"
2020-09-02,850,"5,311.97","1,936.90","14,740.0"
2020-09-03,830,"5,280.81","1,930.20","14,760.0"
2020-09-04,825,"5,239.85","1,926.20","14,740.0"
2020-09-07,825,"5,230.20","1,943.20","14,730.0"
2020-09-08,825,"5,244.07","1,935.10","14,760.0"
2020-09-09,795,"5,149.38","1,946.80","14,780.0"
2020-09-10,740,"4,891.46","1,956.00","14,820.0"
2020-09-11,775,"5,016.71","1,939.50","14,860.0"
2020-09-14,800,"5,161.83","1,954.70","14,860.0"
2020-09-15,805,"5,100.86","1,958.00","14,835.0"
2020-09-16,795,"5,058.48","1,962.00","14,825.0"
2020-09-17,775,"5,038.40","1,941.30","14,820.0"
2020-09-18,790,"5,059.22","1,953.20","14,730.0"
2020-09-21,765,"4,999.36","1,902.10","14,690.0"
2020-09-22,735,"4,934.09","1,899.30","14,750.0"
2020-09-23,750,"4,917.95","1,860.50","14,780.0"
2020-09-24,720,"4,842.76","1,868.90","14,845.0"
2020-09-25,730,"4,945.79","1,857.80","14,845.0"
2020-09-28,725,"4,906.55","1,872.80","14,850.0"
2020-09-29,715,"4,879.10","1,898.70","14,845.0"
2020-09-30,705,"4,870.04","1,891.30","14,840.0"
2020-10-01,735,"4,970.09","1,912.30","14,820.0"
2020-10-02,725,"4,926.73","1,903.80","14,830.0"
2020-10-05,720,"4,958.77","1,916.10","14,790.0"
2020-10-06,720,"4,999.22","1,904.80","14,710.0"
2020-10-07,715,"5,004.33","1,886.80","14,690.0"
2020-10-08,720,"5,039.14","1,891.00","14,685.0"
2020-10-09,765,"5,053.66","1,921.90","14,675.0"
2020-10-12,780,"5,093.10","1,924.30","14,680.0"
2020-10-13,765,"5,132.57","1,890.20","14,680.0"
2020-10-14,955,"5,176.10","1,903.10","14,680.0"
2020-10-15,935,"5,105.15","1,904.90","14,660.0"
2020-10-16,940,"5,103.41","1,902.40","14,670.0"
2020-10-19,"1,055","5,126.33","1,907.70","14,670.0"
2020-10-20,"1,035","5,099.84","1,911.60","14,650.0"
2020-10-21,"1,100","5,096.45","1,925.70","14,610.0"
2020-10-22,"1,085","5,091.82","1,901.60","14,640.0"
2020-10-23,"1,085","5,112.19","1,902.30","14,650.0"
2020-10-26,"1,060","5,144.05","1,903.10","14,630.0"
2020-10-27,"1,055","5,128.23","1,909.20","14,620.0"
2020-11-02,"1,100","5,115.13","1,892.50","14,625.0"
2020-11-03,"1,110","5,159.45","1,910.40","14,570.0"
2020-11-04,"1,105","5,105.20","1,896.20","14,540.0"
2020-11-05,"1,125","5,260.33","1,946.80","14,370.0"
2020-11-06,"1,125","5,335.53","1,951.70","14,190.0"
2020-11-09,"1,240","5,356.01","1,854.40","14,050.0"
2020-11-10,"1,200","5,462.74","1,876.40","14,040.0"
